"PLAYER_NAME","START_POSITION","MIN","FGA","FG_PCT","FG3A","OREB","REB","AST","STL","PTS","TO","PF","DK_POINTS","PTS_PAINT","PFD","DRIVES","DRIVE_FGA","DRIVE_FG_PCT","DRIVE_PTS","TOUCHES","CONTESTED_FGA","CONTESTED_FG_PCT","PACE","PNR_POSSG","ISO_POSSG","SPOT_POSSG","OFF_SCREEN_POSSG","CATCH_SHOOT_FGA","CATCH_SHOOT_FG_PCT","CATCH_SHOOT_3FGA","PASSES_MADE","PASSES_RECEIVED","TIME_OF_POSS","POST_TOUCH_FGA","PULL_UP_FGA","PULL_UP_3FGA","NATIONAL_TV"
"Victor Oladipo","","24:00",13,0.385,3,1,7,2,0,14,2,3,26.75,4,2,9,6,0.167,3,35,9,0.333,101.67,5.53,1.24,2.99,0.79,4,0.5,3,20,24,1.9,0,2,0,NULL
"Nicolas Batum","G","47:26",13,0.308,5,1,9,4,1,10,5,3,26.75,0,5,2,1,0,0,81,5,0,89.11,3.75,1.54,2.19,2.65,3,0.333,2,59,57,3.4,0,7,3,NULL
"Monta Ellis","G","32:05",14,0.357,2,0,4,3,2,12,4,1,26.75,2,3,5,3,0.333,2,61,7,0.429,99.97,6.24,1.19,2.39,0.91,3,0,1,41,46,3.1,1,6,1,NULL
"DeMar DeRozan","G","34:36",15,0.4,1,0,3,6,1,14,2,3,26.25,10,3,20,8,0.75,14,55,9,0.556,88.69,7.61,3.83,2.53,3.22,1,0,1,35,47,3.8,0,5,0,NULL
"Bradley Beal","","23:44",14,0.5,4,0,3,3,0,16,1,0,26.00,6,0,2,1,1,2,38,4,0.5,97.32,5.22,1.05,2.35,2.69,3,1,2,22,35,2,0,8,2,NULL
"Sasha Vujacic","","26:41",5,0.6,2,0,1,7,3,10,2,3,26.00,0,5,2,0,0,1,49,2,0.5,97.67,0.62,NULL,2.07,0.96,3,1,2,39,41,1.8,0,2,0,NULL
"Allen Crabbe","","21:15",9,0.444,3,0,3,1,3,11,1,1,26.00,4,1,2,2,0.5,2,26,3,0.333,91.3,0.89,NULL,3.15,1.56,3,0.333,3,15,19,0.7,0,2,0,NULL
"Archie Goodwin","G","37:04",10,0.4,4,0,6,3,0,14,4,1,25.75,6,5,9,3,0.333,3,86,5,0.4,90.65,2.80,0.93,2.17,0.20,3,0.333,3,65,74,6.2,0,2,1,NULL
"Klay Thompson","G","38:50",15,0.4,8,0,4,1,0,18,0,1,25.75,4,2,4,2,0.5,2,43,8,0.25,95.57,1.44,1.01,3.47,6.25,7,0.429,5,25,35,1.2,1,5,3,NULL
"Wesley Matthews","F","38:27",14,0.5,10,0,2,1,0,20,0,2,25.75,2,2,2,0,0,0,49,6,0.5,87.64,1.14,0.71,4.53,1.54,7,0.286,7,32,38,1.4,1,5,2,NULL
"Kentavious Caldwell-Pope","G","35:48",11,0.455,5,0,5,1,0,16,2,2,25.50,6,2,5,5,0.6,6,30,6,0.5,93.88,3.43,0.76,3.89,1.23,3,0.333,3,14,24,1.4,0,4,2,NULL
"Devin Booker","G","33:52",14,0.429,5,0,3,1,1,18,1,5,25.50,6,5,3,1,1,4,42,11,0.364,91.68,4.03,0.88,1.73,1.95,6,0.333,5,23,38,2.5,0,4,0,NULL
"Avery Bradley","G","37:24",13,0.538,3,1,2,0,1,18,0,0,25.00,8,2,0,0,0,0,38,8,0.75,96.18,2.09,0.59,3.20,2.28,6,0.5,3,22,28,0.8,0,3,0,NULL
"Klay Thompson","G","34:26",16,0.375,7,0,2,1,0,20,1,0,24.75,2,4,6,4,0.25,5,42,9,0.333,95.27,1.44,1.01,3.47,6.25,5,0.6,5,21,36,1.5,1,5,1,NULL
"Gary Harris","G","41:37",9,0.444,5,1,6,0,3,11,1,3,24.50,6,1,1,0,0,0,40,2,0.5,89.58,1.27,0.45,3.17,0.89,5,0.2,5,27,25,1.1,1,1,0,NULL
